Words missing example sentence (example_ro is empty)
Batch: 3
Rows: 500
Format: row|id|zh|ro|ipa|hint|cat|example_ro|example_zh
1001|4496|文化素养|competență culturală|competEnță culturAlă|s.f.: competențe culturale|Education||
1002|4497|跨文化能力|competență interculturală|competEnță interculturAlă|s.f.: competențe interculturale|Education||
1003|4498|教育领导力|leadership educațional|lEadershIp educaționAl|s.n.: (fără plural)|Education||
1004|4499|学校管理|administrare școlară|administrAre școlAră|s.f.: administrări școlare|Education||
1005|4500|课程改革|reformă curriculară|refOrmă curriculAră|s.f.: reforme curriculare|Education||
1006|4501|教师培训|formare a cadrelor didactice|formAre a cadrelor didActice|s.f.: formări ale cadrelor didactice|Education||
1007|4502|教育评估|evaluare educațională|evaluAre educaționAlă|s.f.: evaluări educaționale|Education||
1008|4503|史诗诗人|poet epic|poEt epIc|s.m.: poeți epici|Literature||
1009|4504|抒情诗人|poet liric|poEt lIric|s.m.: poeți lirici|Literature||
1010|4505|剧作家|dramaturg|dramatUrg|s.m.: dramaturgi|Literature||
1011|4506|小说家|romancier|romancIer|s.m.: romancieri|Literature||
1012|4507|散文作家|prozator|prozatOr|s.m.: prozatori|Literature||
1013|4508|批评家|critic|crItic|s.m.: critici|Literature||
1014|4509|评论员|comentator|comentatOr|s.m.: comentatori|Literature||
1015|4510|出版商|editor|editOr|s.m.: editori|Literature||
1016|4511|文学奖|premiu literar|prEmiu literAr|s.n.: premii literare|Literature||
1017|4512|诺贝尔文学奖|Premiul Nobel pentru Literatură|prEmiul nobEl pentru literAtură|s.n.: (fără plural)|Literature||
1018|4513|文学杂志|revistă literară|revIstă literAră|s.f.: reviste literare|Literature||
1019|4514|文学节|festival literar|festIvAl literAr|s.n.: festivaluri literare|Literature||
1020|4515|书评|recenzie de carte|recEnzie de cArte|s.f.: recenzii de carte|Literature||
1021|4516|作家协会|uniune a scriitorilor|uniUne a scriitOrilor|s.f.: uniuni ale scriitorilor|Literature||
1022|4517|文学遗产|moștenire literară|moștenIre literAră|s.f.: moșteniri literare|Literature||
1023|4518|民间文学|literatură populară|literAtură populAră|s.f.: literaturi populare|Literature||
1024|4519|儿童文学|literatură pentru copii|literAtură pentru cOpii|s.f.: literaturi pentru copii|Literature||
1025|4520|科幻小说|science fiction|sciEnce fIction|s.n.: (fără plural)|Literature||
1026|4521|奇幻小说|fantezie|fantEzie|s.f.: fantezii|Literature||
1027|4522|侦探小说|roman polițist|romAn polițIst|s.n.: romane polițiste|Literature||
1028|4523|历史小说|roman istoric|romAn istOric|s.n.: romane istorice|Literature||
1029|4524|自传|autobiografie|autobiografIe|s.f.: autobiografii|Literature||
1030|4525|传记|biografie|biografIe|s.f.: biografii|Literature||
1031|4526|游记|jurnal de călătorie|jurnAl de călătorIe|s.n.: jurnale de călătorie|Literature||
1032|4527|书信集|corespondență|corespondEnță|s.f.: corespondențe|Literature||
1033|4528|短篇小说|nuvelă|nUvelă|s.f.: nuvele|Literature||
1034|4529|极短篇|proză scurtă|prOză scUrtă|s.f.: proze scurte|Literature||
1035|4530|文学杰作|capodoperă|capodOpEră|s.f.: capodopere|Literature||
1036|4531|禁书|carte interzisă|cArte interzIsă|s.f.: cărți interzise|Literature||
1037|4532|经典著作|operă clasică|Operă clasică|s.f.: opere clasice|Literature||
1038|4533|现代经典|clasic modern|clAsic modErn|s.n.: clasice moderne|Literature||
1039|4534|世界文学|literatură universală|literAtură universAlă|s.f.: literaturi universale|Literature||
1040|4535|后殖民文学|literatură postcolonială|literAtură postcolonIAlă|s.f.: literaturi postcoloniale|Literature||
1041|4536|流亡文学|literatură a exilului|literAtură a exIlului|s.f.: literaturi ale exilului|Literature||
1042|4537|实验文学|literatură experimentală|literAtură experimentAlă|s.f.: literaturi experimentale|Literature||
1043|4538|史前人类|om preistoric|Om preistOric|s.m.: oameni preistorici|History||
