id,zh,ro,cat,old_ipa,new_ipa,old_hint,new_hint
406,字母课本,abecedar,学习,,abecedAr,,名词 · 复数待核对: abecedare
407,毕业生,absolvent,教育,,absolvEnt,,名词 · 复数待核对: absolvente
408,学院,academie,教育,,acadEmie,,名词 · 复数待核对: academii
409,入口,acces,城市,,Acces,,名词 · 复数待核对: accese
410,事故,accident,交通,,accidEnt,,名词 · 复数待核对: accidente
411,同意,acord,人际,,Acord,,名词 · 复数待核对: acorde
412,活动,activitate,日常,,activitAte,,名词 · 复数: activități
413,现在,acum,时间,,Acum,,副词 · 不变
414,深的,adânc,形容词,,Adânc,,形容词 · 形式待核对
415,成年人,adult,人际,,Adult,,名词 · 复数待核对: adulte
416,空气,aer,自然,,AEr,,名词 · 复数待核对: aere
417,生意,afacere,商业,,afacEre,,名词 · 复数待核对: afaceri
418,日程本,agendă,职场,,agEndă,,名词 · 复数: agende
419,帮助,ajutor,人际,,ajUtor,,名词 · 复数待核对: ajutoare
420,警报,alarmă,城市,,alArmă,,名词 · 复数: alarme
421,食品,aliment,饮食,,alIment,,名词 · 复数: alimente
422,救护车,ambulanță,健康,,ambulAnță,,名词 · 复数: ambulanțe
423,回忆,amintire,人际,,amintIre,,名词 · 复数待核对: amintiri
424,分析,analiză,学习,,analIză,,名词 · 复数: analize
425,菠萝,ananas,饮食,,anAnas,,名词 · 复数待核对: ananase
426,公寓,apartament,家居,,apartAment,,名词 · 复数: apartamente
427,食欲,apetit,健康,,apEtit,,名词 · 复数待核对: apetite
428,四月,aprilie,时间,,aprIlie,,副词 · 不变
429,银,argint,购物,,Argint,,名词 · 复数待核对: arginte
430,军队,armată,社会,,armAtă,,名词 · 复数: armate
431,香味,aromă,饮食,,arOmă,,名词 · 复数: arome
432,电梯,ascensor,城市,,ascensOr,,名词 · 复数待核对: ascensore
433,助手,asistent,职场,,asistEnt,,名词 · 复数待核对: asistente
434,攻击,atac,社会,,Atac,,名词 · 复数待核对: atace
435,注意,atenție,学习,,atEnție,,名词 · 复数: atenții
436,八月,august,时间,,AUgust,,副词 · 不变
437,作者,autor,艺术,,AUtor,,名词 · 复数待核对: autoare
438,高速路,autostradă,交通,,autostrAdă,,名词 · 复数: autostrade
439,预付款,avans,金融,,Avans,,名词 · 复数待核对: avanse
440,优势,avantaj,职场,,avAntaj,,名词 · 复数待核对: avantaje
441,警告,avertizare,社会,,avertizAre,,名词 · 复数待核对: avertizari
442,长棍面包,baghetă,饮食,,baghEtă,,名词 · 复数: baghete
443,阳台,balcon,家居,,bAlcon,,名词 · 复数待核对: balcone
444,鲸鱼,balenă,自然,,balEnă,,名词 · 复数: balene
445,小船,barcă,交通,,bArcă,,名词 · 复数: barce
446,电池,baterie,科技,,batErie,,名词 · 复数待核对: baterii
447,男孩,băiat,人际,,bĂIAt,,名词 · 复数待核对: băiate
448,老人,bătrân,人际,,bĂtrân,,名词 · 复数待核对: bătrâne
449,参考书目,bibliografie,学习,,bibliogrAfie,,名词 · 复数待核对: bibliografii
450,票,bilet,交通,,bIlet,,名词 · 复数待核对: bilete
451,办公桌,birou,职场,,bIrou,,名词 · 复数待核对: birouri
452,饼干,biscuit,饮食,,bIscuit,,名词 · 复数待核对: biscuite
453,楼房,bloc,家居,,blOc,,名词 · 复数待核对: bloce
454,疾病,boală,健康,,bOAlă,,名词 · 复数: boale
455,糖果,bomboană,饮食,,bombOAnă,,名词 · 复数: bomboane
456,仪表盘,bord,交通,,bOrd,,名词 · 复数待核对: borde
457,手链,brățară,购物,,brățAră,,名词 · 复数: brățare
458,面包店,brutărie,城市,,brutĂrie,,名词 · 复数待核对: brutării
459,快乐,bucurie,情感,,bucUrie,,名词 · 复数待核对: bucurii
460,身份证,buletin,社会,,bulEtin,,名词 · 复数待核对: buletine
461,按钮,buton,科技,,bUton,,名词 · 复数待核对: butone
462,小木屋,cabană,旅行,,cabAnă,,名词 · 复数: cabane
463,浴缸,cadă,家居,,cAdă,,名词 · 复数: cade
